,name_sim_score,cat_sim_score,rating,manuf_count
exr:PTron_Bassbuds_Tango_ENC_Bluetooth_Truly_Wireless_in_Ear_Earbuds_with_mic_Movie_Mode_40Hrs_Playtime_Bluetooth_Headphones_5_1_Deep_Bass_Touch_Control_TWS_Earbuds_Type_C_Fast_Charging_Black_,0.26948106785615283,0.0,3.8,0
exr:Boult_Newly_Launched_Ammo_True_Wireless_In_Ear_Earbuds_with_40ms_Lowest_Latency_40H_Playtime_ENC_Mic_Made_in_India_13mm_Bass_Drivers_Interactive_LEDs_Type_C_Fast_Charging_10Min_150min_Ear_Buds,0.3047366837660472,0.0,4.3,0
exr:Redgear_Cloak_Wired_RGB_Wired_Over_Ear_Gaming_Headphones_with_Mic_for_PC,0.3427920490503311,0.0,4.0,0
exr:Redgear_Cosmo_71_Usb_Gaming_Wired_Over_Ear_Headphones_With_Mic_With_Virtual_Surround_Sound50Mm_Driver_Rgb_Leds_Remote_Control_Black_,0.29902853568394977,0.0,4.3,0
exr:boAt_Airdopes_191G_True_Wireless_In_Ear_Earbuds_with_ENx_Tech_Equipped_Quad_Mics_Beast_Mode_Low_Latency_65ms_for_Gaming_2x6mm_Dual_Drivers_30H_Playtime_IPX5_IWP_Appealing_Case_LEDs_Sport_Blue_,0.3620287279287974,0.6,3.6,1
exr:Cosmic_Byte_CB_EP_05_Wired_Gaming_in_Ear_Earphone_with_Microphone_Detachable_for_PC_PS4_Mobiles_Tablets_Black_,0.2729929635922114,0.0,3.5,0
exr:Diamonds,0.2965186486641566,0.0,4.8,0
exr:Christmas_Songbook,0.22059989472230276,0.0,4.7,0
exr:Geet_Tere_Saaz_Ka_Shailendra_Salil_Chowdhury,0.2307616025209427,0.0,3.5,0
exr:House_of_Balloons,0.22171471019585928,0.0,4.8,0
exr:Music_Card_Celebrating_Ustad_Amjad_Ali_Khan_4_GB_,0.286506325006485,0.0,4.6,0
exr:Music_Card_Taal_Samvad_4_GB_,0.3038554737965266,0.0,4.0,0
exr:Music_Card_Shiv_Hari_4GB_,0.297386959195137,0.0,2.8,0
exr:Music_Card_The_Great_Indian_Sitar_320_Kbps_MP3_Audio_4_GB_,0.26038803656895954,0.0,2.4,0
exr:Popular_Bollywood_Duets_8_GB_,0.23854985336462656,0.0,3.7,0
exr:HINDI_FILM_HITS_Combo_Pack_,0.22109424074490866,0.0,3.4,0
exr:Interstellar_4K_UHD_1_Disc_,0.22642002503077188,0.0,4.3,0
exr:The_Flash_The_Complete_Season_2_4_Disc_Box_Set_,0.2065712809562683,0.0,4.0,0
exr:True_Detective_The_Complete_Seasons_1_2_6_Disc_Special_Edition_Box_Set_Uncut_Slipcase_Packaging_Region_Free_Blu_ray_UK_Import_,0.21860079964001974,0.0,0.0,0
exr:Original_Handmade_Movie_Posters_with_Frame_Mahabali_Hanuman,0.22876925269762674,0.0,0.0,0
exr:Original_Handmade_Movie_Posters_with_Frame_Char_Darvesh,0.25581323107083637,0.0,0.0,0
exr:Original_Handmade_Movie_Posters_with_Frame_Shree_Krishna_Leela,0.2704503784577052,0.0,0.0,0
exr:Original_Handmade_Movie_Posters_With_Frame_Toofan_Aur_Bijlee,0.2603616565465927,0.0,0.0,0
exr:Original_Handmade_Movie_Posters_with_Frame_Maa_Dikri,0.2986687421798706,0.0,0.0,0
exr:SOWUNO_Cake_Decoration_Mold_Spider_Heatproof_DIY_Non_Stick_Reusable_Chocolate_Mold_Candy_Mold_for_Halloween_Heatproof_Reusable_Professional_DIY,0.37563655773798627,0.0,0.0,0
exr:SOWUNO_Mousse_Mold_Pumpkin_6_Cavity_DIY_Professional_Heatproof_Reusable_Pudding_Mold_for_Halloween_Heatproof_Reusable_Professional_DIY_Kitchen,0.380507489045461,0.0,0.0,0
exr:Signables_Barcelona_FC_Signature_Series_Facsimile_Signed_Soccer_with_Player_Info_Official_Collectors_Item,0.25097452104091644,0.0,0.0,0
exr:Original_Autographed_Photo_of_Indian_Cricketer_Rahul_Dravid,0.21020853519439697,0.0,0.0,0
exr:5x7_Inches_Original_Autographed_Photo_of_Indian_Footballer_Sunil_Chhetri,0.24195115268230438,0.0,0.0,0
exr:4x6_Inches_Original_Autographed_Photo_of_German_Tennis_Player_Steffi_Graf,0.20055613418420157,0.0,0.0,0
exr:Six_of_Crows_Collectors_Edition_Book_1_Hardcover_Bardugo_Leigh,0.21390795707702637,0.0,4.7,0
exr:The_Night_Circus_Vintage_Magic_,0.21896761655807495,0.0,4.4,0
exr:SARTE_Car_Neck_Rest_Pillow_Head_Rest_Cushion_for_Car_SeatNeck_Support_for_Long_Driving_Made_of_Soft_American_Velvet_Fabric_with_Soft_PollyFiber_Filling_and_Elastic_Stripes_Set_of_2_Pcs_Black,0.2971413383881251,0.0,4.3,0
exr:Guance_Backrest_Black_Cushion_Support_Pillion_Leatherite_Pattern_Metal_rods_with_Cushion_backrest_for_Ola_S1_Ola_S1_Pro_and_Ola_Lite_Model_Set_of_1_Pcs_,0.22031135857105255,0.0,5.0,0
exr:NIKAVI_Protective_Gear_Riders_Jacket_for_Motorcycle,0.2675795952479045,0.1111111111111111,3.7,0
exr:Royal_Enfield_Mens_JKSS20R01_Olive_Camo_M_,0.26164528727531433,0.1111111111111111,4.3,0
exr:Steelbird_Full_Finger_Bike_Riding_Gloves_with_Touch_Screen_Sensitivity_at_Thumb_and_Index_Finger_Protective_Off_Road_Motorbike_Racing_Large_Black_Red_,0.21967174112796783,0.0,5.0,0
exr:Royal_Enfield_Urban_Hustler_Rover_V3_Riding_Gloves_Black_L_RRGGLN000013_,0.2674732605616252,0.0,4.3,0
exr:TVS_Glove_Box_for_Bikes_Dark_Black_,0.23494625091552734,0.0,4.6,0
exr:Generic_ESP8266_Nodemcu_Esp8266_Lua_Amica_Wifi_Internet_of_Things_Development_Board_Cp2102_Iot,0.2278210570414861,0.0,4.2,0
exr:Trading_Charts_Combo_Classic_Chart_Patterns_Set_of_6_Sheets_Candlestick_Chart_Patterns_Set_of_5_Sheets_,0.24277058243751526,0.0,4.2,0
exr:Scotch_Brite_Sponge_Wipe_Pack_of_5_Color_and_Print_May_Vary_,0.3474842309951782,0.0,4.5,0
exr:Scotch_Brite_Silver_Sparks_Scrub_Pad_2_75x4_Pack_of_6_,0.2422740856806437,0.0,4.4,0
exr:Alkon_ARTB_20_Industrial_Bin_187x106x76_mm,0.2601802597443263,0.0,2.9,0
exr:KLEENAL_20160014_Plastic_Double_Bucket_Wringer_Trolley_34_Liters_K_119A_,0.2679603000481923,0.0,3.5,0
exr:Sparkmate_By_Crystal_Kharata_Plastic_Stick_Broom_Jhadu_for_Home_and_Bathroom_Cleaning,0.22451096773147583,0.0,4.1,0
exr:Gala_No_Dust_Broom_with_Extendable_Long_Handle_broom_stick_for_home_floor_cleaning_and_ceiling_cleaning_Jhadu_for_home_cleaning_and_ceiling_cleaning_Made_of_washable_Fibers,0.20557257533073425,0.0,4.0,0
exr:Agaro_Regal_Plus_Upright_Vacuum_Cleaner_2_In_1_Handheld_Stick_For_Home_And_Office_Use_800_Watts_Transparent,0.2117989460627238,0.1111111111111111,4.0,0
exr:OTOROYS_Motorcycle_Helmet_Wireless_Dual_Earphone_On_Ear_Helmet_Bluetooth_Calling_and_Music_with_Mic_Support_iOS_Andriod_,0.2958150307337443,0.125,4.0,0
exr:Aroma_NB128_Grace_24_Hours_Playing_Time_Deep_Bass_Made_in_India_Neckband_Earphone_Bluetooth_Headset_Blue_,0.32765689492225647,0.125,2.8,0
exr:HEADFOX_N2_Smart_Bluetooth_sba7_Calls_Music_Navigation_Waterproof_Voice_Command_ISI_Certified_Flip_Up_Dashing_SV_Motorbike_Helmet,0.28873947262763977,0.125,4.6,0
exr:JZAQ_Universal_Wireless_Motorcycle_Helmet_Bluetooth_On_Ear_HeadsetHands_FreeMusic_Call_ControlAutomatic_Call_AnsweringWaterproof_Bluetooth_5_0_Intercom_Communication_System_with_50hrs_Playing_Time,0.2631305903196335,0.125,4.0,0
exr:amiciAuto_Headphone_for_V6_Bluetooth_Intercom_Only_Over_Ear_Headphones_with_Mic,0.21158869564533234,0.125,4.0,0
exr:Bassoholic_Two_Way_6_5_Inches_Coaxial_High_Bass_Speakers_for_Car_with_Imported_Rubber_Edge_Cone_Multicolor,0.28946059942245483,0.1111111111111111,4.1,0
exr:Electronic_Spices_3_25_Inch_4_Ohm_80w_Max_Power_Dome_Tweeter_Speaker_Home_Audio_Speakers,0.2547268122434616,0.1111111111111111,5.0,0
exr:SP_3_inch_10_watt_sub_woofer_3_Inch_subwoofer_Speaker_4_ohm_10_Watt_HiFi_Woofer_Deep_Bass_Coaxial_Car_Speaker_Pack_of_1_,0.22399858633677164,0.1111111111111111,1.0,0
exr:Electronic_Spices_Combo_of_TG113_Bluetooth_Speaker_Circuit_Board_Module_With_2_Inch_4_Ohm_3w_Metal_Body_Power_Audio_Woofer_Speaker,0.2688915282487869,0.1111111111111111,3.5,0
exr:NEXDIGITRON_ACE_Car_Dash_Camera_with_GPS_Logger_Full_HD_1080P_F1_8_Aperture_6G_Lens_140_Wide_Angle_Super_Capacitor_G_Sensor_WiFi_Upto_128GB_Supported_Made_in_India,0.21449847519397736,0.125,4.2,0
exr:Qubo_Car_Dash_Camera_True_4K_2160P_UHD_Dash_Cam_from_Hero_Group_Made_in_India_ADAS_Built_in_Wi_Fi_GPS_Logger_2_8_Display_140_Wide_Angle_Supports_Up_to_1TB_SD_Card,0.2124176025390625,0.125,4.2,0
exr:Qubo_Car_Dash_Camera_Pro_Dash_Cam_from_Hero_Group_Made_in_India_Dashcam_Full_HD_1080p_Wide_Angle_View_G_Sensor_WiFi_Emergency_Recording_Upto_256GB_SD_Card_Supported,0.21084479490915933,0.125,4.2,0
exr:Oneplus_10R_Type_c_to_3_5mm_Audio_Jack_1_Plus_Audio_Jack_Adapter_car_Audio_Connector_USB_Type_c_Headphone_Converter_Cable_Stereo_Jack_Splitter_Compatible_for_Oneplus_9_9r_8_8t_7_7pro_7t_6t_nord,0.2682086080312729,0.4,4.1,0
exr:One_Plus_USB_Type_C_to_3_5mm_Adapter_for_OnePlus_7T_8T_9_Pro_Headphone_Jack_Adapter_USB_Type_C_to_3_5mm_Aux_Audio_Earphone_Pack_of_1_3_5mm_Audio_Jack_,0.2805153727531433,0.4,4.2,0
exr:Squalo_BassPlugs_151_Wireless_in_Ear_Bluetooth_Neckband_Earphones_with_Mic_30_Hours_Playtime_IPX5_Water_ResistantType_C_Charging_Premium_10mm_Dynamic_Drivers_for_Deep_Bass_Blue_,0.3428664803504944,0.6,4.1,0
exr:truke_Newly_Launched_Buds_A1_True_Wireless_in_Ear_Earbuds_with_30dB_Hybrid_ANC_48H_Playtime_4_Mics_with_ENC_3_1_EQ_Modes_Fast_Charge_Gaming_Mode_Instant_Pairing_AAC_Codec_BT_5_3_IPX4_Black_,0.27893031140168506,0.6,4.0,0
exr:OnePlus_Bullets_Z2_Bluetooth_Wireless_in_Ear_Earphones_with_Mic_Bombastic_Bass_12_4_Mm_Drivers_10_Mins_Charge_20_Hrs_Music_30_Hrs_Battery_Life_Magico_Black_,0.3505292038122813,0.6,4.2,0
exr:boAt_Rockerz_450_Batman_Edition_Bluetooth_On_Ear_Headphones_with_Mic_Upto_15_Hours_Playback_40MM_Drivers_Padded_Ear_Cushions_Integrated_Controls_and_Dual_Modes_Knight_Black_,0.3668787082036336,1.0,4.1,1
exr:Sony_Wh_Ch510_Bluetooth_Wireless_On_Ear_Headphones_Up_To_35Hrs_Playtime_Lightweight_Type_C_Play_Pause_Control_30Mm_Driver_Bt_Version_5_0_Voice_Assistant_Support_For_Mobiles_with_mic_Blue,0.21265314519405365,1.0,4.0,0
exr:ZEBRONICS_Zeb_Thunder_Wireless_Bluetooth_Over_The_Ear_Headphone_FM_mSD_9_hrs_Playback_with_Mic_Blue_,0.2975529382626216,1.0,3.8,0
exr:Infinity_JBL_Glide_510_72_Hrs_Playtime_with_Quick_Charge_Wireless_On_Ear_Headphone_with_Mic_Deep_Bass_Dual_Equalizer_Bluetooth_5_0_with_Voice_Assistant_Support_Black_,0.32333482801914215,1.0,4.2,0
exr:Sounce_Case_Silicone_Cover_Compatible_with_Keychain_for_Oneplus_Nord_Buds_Full_Protection_Shockproof_Case_Cover_Anti_Fall_Anti_Dust_Black_,0.21807965636253357,0.4,4.3,0
exr:Gizga_Essentials_Earphone_Carrying_Case_Multi_Purpose_Pocket_Storage_Travel_Organizer_for_Earphones_Headset_Pen_Drives_SD_Cards_Shock_Proof_Ballistic_Nylon_Soft_Fabric_Mesh_Pocket_Green,0.29722938934961957,0.4,4.3,0
exr:CROSSVOLT_Tough_Rugged_Cover_for_Airpods_Pro_GEN_2_2022_Black_Polycarbonate,0.2199238489071528,0.4,4.2,0
exr:Inefable_Earphone_Headphone_Case_Pouch_Cover_Carrying_Case_for_Earphones_Headset_Pen_Drives_SD_Cards_All_Mobile_Accessories_Black_Pack_of_1_,0.30378398299217224,0.4,4.2,0
exr:Boldfit_Gym_Shaker_for_Protein_Shake_Leakproof_Shaker_Bottles_for_Protein_Preworkout_and_Bcaa_Shake_Protein_Shaker_Bottle_for_Gym_Gym_Bottle_for_Men_and_Women_BPA_Free_Material_Typhoon_700_Ml,0.29255162676175434,0.0,4.1,0
exr:Fur_Jaden_55_LTR_Rucksack_Travel_Backpack_Bag_for_Trekking_Hiking_with_Shoe_Compartment,0.3626831074555715,0.0,4.2,0
exr:Amazon_Brand_Solimo_Rain_Dust_Cover_for_Backpack_30_Litres_Black_,0.3231516480445862,0.0,4.2,0
